,Id,Primary Title,Original Title,Year,Genres,Average Rating,# of Votes
3401,tt4370220,Summary of Crimes, Zuixing Zhaiyao,2014, Documentary,8.4,5
3402,tt4370650,I Have Graduated, Wo Biye Le,1992, Documentary,6.6,5
3403,tt4370770,Buried, Yanmai,2009, Documentary,7.4,11
3408,tt4392726,The Office, Hua li shang ban zu,2015, Comedy&Musical&Romance,6.1,839
3415,tt4412098,Tomb Robber, Midao Zhuizong Zhi Yinbing Hufu,2014, Action&Adventure&Mystery,4.9,22
3416,tt4412118,Taste of China, Weidao Zhongguo,2015, Documentary,6.1,8
3417,tt4412218,Running Man, Benpao Ba! Xiongdi,2015, Action&Comedy&Documentary,2.6,97
3418,tt4412240,Boonie Bears Winter, Xiong chu mo zhi xue ling xiong feng,2015, Animation&Comedy,6.5,95
3421,tt4418070,The Land of Many Palaces, The Land of Many Palaces,2015, Documentary,8.0,27
3422,tt4434172,River, Gtsangbo,2015, Drama,7.2,32
3425,tt4440036,Lost and Love, Shi gu,2015, Drama,6.4,594
3427,tt4455880,Uncle Victory, Shengli,2014, Drama,6.8,9
3428,tt4468650,Yugo and Lala 2, Yugo and Lala 2,2014, Animation,7.1,14
3429,tt4469396,Ju ji shi ke, Ju ji shi ke,2014, Action&Crime,7.5,13
3431,tt4478128,Li Wen at East Lake, Li Wen man you Dong Hu,2015, Documentary,6.9,31
3432,tt4481934,Crazy New Years Eve, Yi lu jing xi,2015, Drama,4.6,60
3434,tt4483422,The Queens, Wo shi nv wang,2015, Comedy&Romance,4.3,68
3436,tt4495750,Under the Dome, Qiong ding zhi xia,2015, Documentary,8.0,367
3437,tt4500166,Wheat Harvest, Mai shou,2009, Documentary,7.1,34
3440,tt4514606,The Boundary, Quan cheng tong qi,2014, Action&Crime&Drama,5.1,49
3441,tt4519450,Another Me in the World, Another Me in the World,2015, Documentary,6.9,8
3445,tt4526842,Home Run, Home Run,2008, Comedy,6.2,9
3447,tt4537986,Manhunt, Zhui bu,2017, Action&Crime&Thriller,5.2,2781
3448,tt4539442,Next Station I Love You, Xia yi zhan zai ai ni,2014, Romance,7.1,7
3450,tt4539628,Pleasant Goat and Big Big Wolf: Amazing Pleasant Goat, Xi yang yang yu hui tai lang zhi yang nian xi yang yang,2015, Animation,3.9,19
3451,tt4543674,The End of Year, Yi Nian Dao Tou,2008, Comedy,7.6,14
3452,tt4545806,The Left Ear, Zuo er,2015, Drama,5.3,383
3453,tt4550652,Mr. Deng Goes to Washington, Xuan feng jiu ri,2015, Adventure&Biography&Documentary,6.9,29
3456,tt4561398,One Night Stud, You zhong ni ai wo,2015, Comedy,5.1,94
3460,tt4572856,Lets Get Married, Zan men jie hun ba,2015, Comedy&Romance,5.6,166
3462,tt4591230,A Moment of Love, Hui dao ai kai shi de di fang,2013, Romance,6.7,42
3463,tt4591310,The Monkey King 2, Xi you ji zhi: Sun Wukong san da Baigu Jing,2016, Action&Adventure&Fantasy,5.9,2882
3464,tt4595054,Dao shi chu shan, Dao shi chu shan,2015, Drama,6.8,5
3466,tt4602422,Ata, Zhao jian,2014, Drama,6.1,19
3467,tt4613272,Kaili Blues, Lu Bian Ye Can,2015, Drama&Mystery,7.3,3224
3468,tt4614920,Xiao xi tian di dao chuan qi, Xiao xi tian di dao chuan qi,2015, History,6.0,7
3469,tt4618818,3 Little Pigs and the Magic Lamp, The Three Pigs and the Lamp,2015, Family,5.6,22
3470,tt4623812,The Wasted Times, Luo man di ke xiao wang shi,2016, Drama,7.0,1402
3473,tt4630562,The Fate of the Furious, The Fate of the Furious,2017, Action&Adventure&Crime,6.6,208412
3475,tt4644382,Monkey King: Hero Is Back, Xi you ji zhi da sheng gui lai,2015, Action&Adventure&Animation,6.8,3864
3476,tt4648786,Harriet, Harriet,2019, Action&Biography&Drama,6.6,21116
3478,tt4653836,Poet on a Business Trip, Shi ren chu chai le,2015, Documentary,7.0,65
3479,tt4655294,Run for Love, Zai shi jie de zhong xin hu huan ai,2016, Drama&Romance,4.6,140
3480,tt4657324,The Crazy School, Xiaoyuan Fengsao Shi Zhi Wudong Qingchun,2015, Comedy,5.2,6
3481,tt4657400,10000 Years Later, Yi wan nian yi hou,2015, Animation&Fantasy,5.0,196
3482,tt4657764,You Are My Sunshine, He yi sheng xiao mo,2015, Romance,3.8,276
3483,tt4658478,The Kungfu Master, Ba gua zhong shi,2012, Action,6.0,15
3485,tt4662708,Another Shot, My Other Home,2017, Biography&Drama&Sport,6.5,97
3486,tt4662922,Haze and Fog, Haze and Fog,2013, N/A,7.2,12
3487,tt4665926,Cut Out the Eyes, Cut Out the Eyes,2014, Documentary,7.7,6
3489,tt4674500,The Wonderful Wedding, Da xi lin men,2015, Comedy&Romance,5.3,128
3490,tt4674506,The Right Mistake, Jiang cuo jiu cuo,2015, Comedy&Drama&Romance,3.3,16
3493,tt4687848,Railroad Tigers, Tie dao fei hu,2016, Action&Adventure&Comedy,5.8,3906
3496,tt4694440,Papa, Luo shan ji dao dan ji hua,2016, Comedy&Drama&Family,6.7,52
3498,tt4701182,Bumblebee, Bumblebee,2018, Action&Adventure&Sci-Fi,6.8,142989
3499,tt4701660,Mei ren yu, Mei ren yu,2016, Comedy&Drama&Fantasy,6.2,8365
3500,tt4701702,Mr. Six, Lao pao er,2015, Action&Drama,7.0,3446
3501,tt4706886,The Rise of King Modu, The Rise of King Modu,2013, Drama,4.4,8
3502,tt4714896,On Wings of Eagles, On Wings of Eagles,2016, Biography&Drama&History,5.6,821
3504,tt4722674,I Am Sun Mu, I Am Sun Mu,2015, Animation&Biography&Documentary,7.2,194
3505,tt4727756,The Ark of Mr Chow, Shao nian ban,2015, Comedy,5.4,168
3508,tt4743226,Air Strike, Da hong zha,2018, Action&Adventure&Drama,3.2,3825
3511,tt4757664,Jiu xiang, Jiu xiang,1994, Drama,8.0,7
3512,tt4769500,Balala the Fairies: Princess Camellia, Balala the Fairies: Princess Camellia,2015, Action&Adventure&Family,3.8,9
3514,tt4776994,Lotus Lantern, Lotus Lantern,2005, Animation,5.8,19
3518,tt4786802,I Am Somebody, Wo shi lu ren jia,2015, Comedy&Drama,6.6,462
3519,tt4786830,Ballet in the Flames of War, Zhan huo zhong de ba lei,2015, War,6.4,37
3521,tt4788934,The Guardian Brothers, Xiao men shen,2016, Animation&Comedy&Family,5.5,1836
3522,tt4799538,Night of Adventure, Feng kuang 72 xiao shi,2014, Comedy,2.8,11
3527,tt4814354,Tiny Times 4.0, Xiao shi dai 4: Ling hun jin tou,2015, Drama&Romance,2.8,404
