,Id,Primary Title,Original Title,Year,Genres,Average Rating,# of Votes
365,tt0103279,My Dear Son, Wo yao fu gui,1989, Drama,6.5,32
366,tt0103291,The Tigers, Ng foo jeung: Guet lip,1991, Action&Crime&Drama,6.2,205
367,tt0103315,The Roar of the Vietnamese, Yue qing,1991, Action&Crime&Drama,5.1,15
368,tt0103333,Bullet for Hire, Zi dan chu zu,1990, Action&Crime,6.1,62
369,tt0103762,Huang he yao, Huang he yao,1990, Adventure&Comedy&Drama,7.8,17
370,tt0103969,The Oak, Balanta,1992, Comedy&Drama,8.1,2687
371,tt0104046,Daens, Daens,1992, Biography&Drama&History,7.5,3960
372,tt0104181,Wuthering Heights, Wuthering Heights,1992, Drama&History&Romance,6.8,12429
373,tt0104230,Come Fly the Dragon, Hei yi bu zhi Shou du qing shen,1992, Action&Comedy,5.6,40
374,tt0104245,Best of the Best, Fei foo jing ying: Yan gaan yau ching,1992, Action&Crime&Drama,6.1,77
375,tt0104318,Gao bie zi jin cheng, Gao bie zi jin cheng,1992, Drama,6.2,32
376,tt0104337,Il giardino dei ciliegi, Il giardino dei ciliegi,1992, Drama,7.7,6
377,tt0104646,Kuang, Kuang,1992, Drama&Romance,6.9,15
378,tt0104675,Arrest the Restless, Lam Gong juen: Fan fei jo fung wan,1992, Comedy&Crime&Drama,6.8,82
379,tt0104800,Mama, Mama,1991, Drama,6.6,34
380,tt0104921,Mothers and Daughters, Mothers and Daughters,1993, Drama,8.0,10
381,tt0104939,Mary from Beijing, Meng xing shi fen,1992, Drama&Romance,6.6,76
382,tt0105197,The Story of Qiu Ju, Qiu Ju da guan si,1992, Comedy&Drama,7.6,5528
383,tt0105236,Reservoir Dogs, Reservoir Dogs,1992, Crime&Drama&Thriller,8.3,931997
384,tt0105287,Sex and Zen, Yuk po tuen: Tau ching bo gam,1991, Comedy&Drama&Fantasy,5.6,2123
385,tt0105398,The Twin Bracelets, Shuang zhuo,1991, Drama,6.3,39
